trial_index,uniqueid,condition,counterbalance,assignmentId,workerId,hitId,trial_type,rt,internal_node_id,dateTime,materials_id,item_id,survey_question_idx,survey_answer,slider_value,slider_copout,condition_0,condition_1,condition_2,agent_is_subject,slider_value_normed
3,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,5162.599999904633,0.0-3.0,2021-08-03 16:53:47.037,,,,,,True,practice,solid,full,False,
4,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4257.899999856949,0.0-4.0,2021-08-03 16:53:51.297,,,,,,True,practice,liquid,full,False,
5,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3766.4000000953674,0.0-5.0,2021-08-03 16:53:55.066,,,,,67.0,False,practice,abstract,empty,False,-2.2102365104666784
6,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3886.600000143051,0.0-6.0,2021-08-03 16:53:58.955,,,,,69.0,False,practice,solid,empty,False,-1.8054312887694846
7,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3320.899999856949,0.0-7.0,2021-08-03 16:54:02.278,,,,,80.0,False,practice,abstract,full,False,0.4209974305650812
9,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2919.7999999523163,0.0-9.0,2021-08-03 16:54:06.757,swarm-002-promptP,41.0,,,77.0,False,0.0,1.0,,True,-0.18621040198070948
10,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2236.0,0.0-10.0,2021-08-03 16:54:08.995,swarm-002-promptP,31.0,,,81.0,False,0.0,1.0,,True,0.6234000414136781
11,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2597.7999999523163,0.0-11.0,2021-08-03 16:54:11.594,swarm-002-promptP,39.0,,,85.0,False,0.0,0.0,,False,1.4330104848080656
12,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2699.9000000953674,0.0-12.0,2021-08-03 16:54:14.296,swarm-002-promptP,6.0,,,82.0,False,0.0,0.0,,False,0.825802652262275
13,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2428.100000143051,0.0-13.0,2021-08-03 16:54:16.729,swarm-002-promptP,7.0,,,79.0,False,filler,full,,False,0.2185948197164843
14,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2064.5999999046326,0.0-14.0,2021-08-03 16:54:18.796,swarm-002-promptP,19.0,,,81.0,False,0.0,0.0,,False,0.6234000414136781
15,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2759.0,0.0-15.0,2021-08-03 16:54:21.557,swarm-002-promptP,22.0,,,77.0,False,0.0,1.0,,True,-0.18621040198070948
