trial_index,uniqueid,condition,counterbalance,assignmentId,workerId,hitId,trial_type,rt,internal_node_id,experiment_id,materials_id,item_id,practice_sentence,survey_question_idx,survey_answer,slider_value,slider_copout,condition_0,condition_1,slider_zscore
1,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,2192.1999999284744,0.0-1.0,02_acceptability_swarm,,,1-1,,,1.0,False,,,-3.051285766293647
2,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,1472.0999999046326,0.0-2.0,02_acceptability_swarm,,,4-1,,,4.0,False,,,-0.7119666788018507
3,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,1524.5999999046326,0.0-3.0,02_acceptability_swarm,,,7-1,,,7.0,False,,,1.6273524086899454
5,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,3685.600000023842,0.0-5.0,02_acceptability_swarm,swarm-002-promptP,2.0,,,,7.0,False,0,1,1.6273524086899454
6,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,1621.8999999761581,0.0-6.0,02_acceptability_swarm,swarm-002-promptP,22.0,,,,5.0,False,0,1,0.06780635036208135
7,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,2708.7000000476837,0.0-7.0,02_acceptability_swarm,swarm-002-promptP,5.0,,,,6.0,False,0,1,0.8475793795260134
8,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,2638.2999999523163,0.0-8.0,02_acceptability_swarm,swarm-002-promptP,58.0,,,,5.0,False,0,1,0.06780635036208135
9,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,2515.0,0.0-9.0,02_acceptability_swarm,swarm-002-promptP,8.0,,,,5.0,False,0,1,0.06780635036208135
10,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,2150.7000000476837,0.0-10.0,02_acceptability_swarm,swarm-002-promptP,0.0,,,,6.0,False,0,1,0.8475793795260134
11,debug49IEJFT:debugSVU9KB,0,0,debugSVU9KB,debug49IEJFT,debugGB5B3O,html-slider-response-with-copout,3816.7000000476837,0.0-11.0,02_acceptability_swarm,swarm-002-promptP,20.0,,,,5.0,False,0,1,0.06780635036208135
